,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2726,Massachusetts 1,0.728,0.27,16,2008,MASSACHUSETTS,8.40,MA
2727,Massachusetts 2,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
2728,Massachusetts 3,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
2729,Massachusetts 4,0.68,0.253,17,2008,MASSACHUSETTS,8.92,MA
2730,Massachusetts 5,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
2731,Massachusetts 6,0.704,0.295,18,2008,MASSACHUSETTS,9.45,MA
2732,Massachusetts 7,0.756,0.242,14,2008,MASSACHUSETTS,7.35,MA
2733,Massachusetts 8,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
2734,Massachusetts 9,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
2735,Massachusetts 10,Uncontested,0.0,0,2008,MASSACHUSETTS,0.00,MA
