,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2666,Illinois 1,0.859,0.141,10,2008,ILLINOIS,5.25,IL
2667,Illinois 2,0.894,0.106,9,2008,ILLINOIS,4.72,IL
2668,Illinois 3,0.733,0.214,14,2008,ILLINOIS,7.35,IL
2669,Illinois 4,0.806,0.115,11,2008,ILLINOIS,5.77,IL
2670,Illinois 5,0.739,0.22,14,2008,ILLINOIS,7.35,IL
2671,Illinois 6,0.576,0.424,47,2008,ILLINOIS,24.67,IL
2672,Illinois 7,0.85,0.15,10,2008,ILLINOIS,5.25,IL
2673,Illinois 8,0.607,0.393,33,2008,ILLINOIS,17.32,IL
2674,Illinois 9,0.747,0.22,14,2008,ILLINOIS,7.35,IL
2675,Illinois 10,0.526,0.474,135,2008,ILLINOIS,70.87,IL
2676,Illinois 11,0.584,0.345,30,2008,ILLINOIS,15.75,IL
2677,Illinois 12,0.711,0.25,16,2008,ILLINOIS,8.40,IL
2678,Illinois 13,0.536,0.437,71,2008,ILLINOIS,37.27,IL
2679,Illinois 14,0.577,0.423,46,2008,ILLINOIS,24.15,IL
2680,Illinois 15,0.642,0.358,25,2008,ILLINOIS,13.12,IL
2681,Illinois 16,0.609,0.361,29,2008,ILLINOIS,15.22,IL
2682,Illinois 17,0.998,0.0,8,2008,ILLINOIS,4.20,IL
2683,Illinois 18,0.589,0.379,34,2008,ILLINOIS,17.85,IL
2684,Illinois 19,0.645,0.334,23,2008,ILLINOIS,12.07,IL
