,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
4102,Illinois 1,0.88,0.12,10,2000,ILLINOIS,5.25,IL
4103,Illinois 2,0.9,0.1,9,2000,ILLINOIS,4.72,IL
4104,Illinois 3,0.76,0.24,14,2000,ILLINOIS,7.35,IL
4105,Illinois 4,0.89,0.11,9,2000,ILLINOIS,4.72,IL
4106,Illinois 5,0.88,0.0,8,2000,ILLINOIS,4.20,IL
4107,Illinois 6,0.59,0.41,39,2000,ILLINOIS,20.47,IL
4108,Illinois 7,0.86,0.14,10,2000,ILLINOIS,5.25,IL
4109,Illinois 8,0.61,0.39,32,2000,ILLINOIS,16.80,IL
4110,Illinois 9,0.76,0.24,14,2000,ILLINOIS,7.35,IL
4111,Illinois 10,0.51,0.49,350,2000,ILLINOIS,183.75,IL
4112,Illinois 11,0.56,0.44,59,2000,ILLINOIS,30.97,IL
4113,Illinois 12,Uncontested,0.0,0,2000,ILLINOIS,0.00,IL
4114,Illinois 13,0.66,0.34,22,2000,ILLINOIS,11.55,IL
4115,Illinois 14,0.74,0.26,15,2000,ILLINOIS,7.87,IL
4116,Illinois 15,0.53,0.47,117,2000,ILLINOIS,61.42,IL
4117,Illinois 16,0.67,0.33,21,2000,ILLINOIS,11.02,IL
4118,Illinois 17,0.55,0.45,70,2000,ILLINOIS,36.75,IL
4119,Illinois 18,0.67,0.33,21,2000,ILLINOIS,11.02,IL
4120,Illinois 19,0.65,0.35,24,2000,ILLINOIS,12.60,IL
4121,Illinois 20,0.63,0.37,27,2000,ILLINOIS,14.17,IL
