,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
4174,Michigan 1,0.59,0.41,39,2000,MICHIGAN,20.47,MI
4175,Michigan 2,0.65,0.34,23,2000,MICHIGAN,12.07,MI
4176,Michigan 3,0.65,0.34,23,2000,MICHIGAN,12.07,MI
4177,Michigan 4,0.68,0.3,19,2000,MICHIGAN,9.97,MI
4178,Michigan 5,0.75,0.24,14,2000,MICHIGAN,7.35,MI
4179,Michigan 6,0.68,0.3,19,2000,MICHIGAN,9.97,MI
4180,Michigan 7,0.62,0.36,27,2000,MICHIGAN,14.17,MI
4181,Michigan 8,0.49,0.49,0,2000,MICHIGAN,0.00,MI
4182,Michigan 9,0.62,0.36,27,2000,MICHIGAN,14.17,MI
4183,Michigan 10,0.65,0.34,23,2000,MICHIGAN,12.07,MI
4184,Michigan 11,0.56,0.41,47,2000,MICHIGAN,24.67,MI
4185,Michigan 12,0.65,0.33,22,2000,MICHIGAN,11.55,MI
4186,Michigan 13,0.65,0.33,22,2000,MICHIGAN,11.55,MI
4187,Michigan 14,0.9,0.1,9,2000,MICHIGAN,4.72,MI
4188,Michigan 15,0.9,0.1,9,2000,MICHIGAN,4.72,MI
4189,Michigan 16,0.71,0.27,16,2000,MICHIGAN,8.40,MI
