,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1744,Texas 1,0.775,0.225,13,2014,TEXAS,6.82,TX
1745,Texas 2,0.68,0.296,19,2014,TEXAS,9.97,TX
1746,Texas 3,0.82,0.18,11,2014,TEXAS,5.77,TX
1747,Texas 4,Unopposed,0.0,0,2014,TEXAS,0.00,TX
1748,Texas 5,0.855,0.145,10,2014,TEXAS,5.25,TX
1749,Texas 6,0.612,0.364,29,2014,TEXAS,15.22,TX
1750,Texas 7,0.633,0.345,25,2014,TEXAS,13.12,TX
1751,Texas 8,0.893,0.107,9,2014,TEXAS,4.72,TX
1752,Texas 9,0.908,0.092,9,2014,TEXAS,4.72,TX
1753,Texas 10,0.622,0.341,25,2014,TEXAS,13.12,TX
1754,Texas 11,0.903,0.097,9,2014,TEXAS,4.72,TX
1755,Texas 12,0.713,0.263,16,2014,TEXAS,8.40,TX
1756,Texas 13,0.843,0.128,10,2014,TEXAS,5.25,TX
1757,Texas 14,0.618,0.361,28,2014,TEXAS,14.70,TX
1758,Texas 15,0.54,0.433,66,2014,TEXAS,34.65,TX
1759,Texas 16,0.675,0.292,19,2014,TEXAS,9.97,TX
1760,Texas 17,0.646,0.324,22,2014,TEXAS,11.55,TX
1761,Texas 18,0.718,0.248,15,2014,TEXAS,7.87,TX
1762,Texas 19,0.772,0.184,12,2014,TEXAS,6.30,TX
1763,Texas 20,0.757,0.243,14,2014,TEXAS,7.35,TX
1764,Texas 21,0.718,0.147,13,2014,TEXAS,6.82,TX
1765,Texas 22,0.666,0.316,20,2014,TEXAS,10.50,TX
1766,Texas 23,0.498,0.477,334,2014,TEXAS,175.35,TX
1767,Texas 24,0.651,0.323,22,2014,TEXAS,11.55,TX
1768,Texas 25,0.602,0.362,30,2014,TEXAS,15.75,TX
1769,Texas 26,0.827,0.173,11,2014,TEXAS,5.77,TX
1770,Texas 27,0.636,0.337,24,2014,TEXAS,12.60,TX
1771,Texas 28,0.821,0.133,11,2014,TEXAS,5.77,TX
1772,Texas 29,0.895,0.105,9,2014,TEXAS,4.72,TX
1773,Texas 30,0.879,0.068,9,2014,TEXAS,4.72,TX
1774,Texas 31,0.641,0.32,22,2014,TEXAS,11.55,TX
1775,Texas 32,0.618,0.354,27,2014,TEXAS,14.17,TX
1776,Texas 33,0.865,0.135,10,2014,TEXAS,5.25,TX
1777,Texas 34,0.595,0.385,34,2014,TEXAS,17.85,TX
1778,Texas 35,0.625,0.333,24,2014,TEXAS,12.60,TX
1779,Texas 36,0.76,0.22,13,2014,TEXAS,6.82,TX
