,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
2375,Michigan 1,0.519,0.409,64,2010,MICHIGAN,33.60,MI
2376,Michigan 2,0.653,0.316,21,2010,MICHIGAN,11.02,MI
2377,Michigan 3,0.597,0.375,32,2010,MICHIGAN,16.80,MI
2378,Michigan 4,0.662,0.305,20,2010,MICHIGAN,10.50,MI
2379,Michigan 5,0.53,0.443,81,2010,MICHIGAN,42.52,MI
2380,Michigan 6,0.62,0.336,25,2010,MICHIGAN,13.12,MI
2381,Michigan 7,0.502,0.454,146,2010,MICHIGAN,76.65,MI
2382,Michigan 8,0.641,0.343,24,2010,MICHIGAN,12.60,MI
2383,Michigan 9,0.498,0.472,270,2010,MICHIGAN,141.75,MI
2384,Michigan 10,0.72,0.25,15,2010,MICHIGAN,7.87,MI
2385,Michigan 11,0.593,0.385,34,2010,MICHIGAN,17.85,MI
2386,Michigan 12,0.611,0.35,27,2010,MICHIGAN,14.17,MI
2387,Michigan 13,0.794,0.185,12,2010,MICHIGAN,6.30,MI
2388,Michigan 14,0.768,0.199,13,2010,MICHIGAN,6.82,MI
2389,Michigan 15,0.568,0.401,42,2010,MICHIGAN,22.05,MI
