,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
3370,Georgia 1,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
3371,Georgia 2,0.668,0.332,21,2004,GEORGIA,11.02,GA
3372,Georgia 3,0.629,0.371,28,2004,GEORGIA,14.70,GA
3373,Georgia 4,0.638,0.362,26,2004,GEORGIA,13.65,GA
3374,Georgia 5,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
3375,Georgia 6,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
3376,Georgia 7,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
3377,Georgia 8,0.756,0.244,14,2004,GEORGIA,7.35,GA
3378,Georgia 9,0.743,0.257,15,2004,GEORGIA,7.87,GA
3379,Georgia 10,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
3380,Georgia 11,0.574,0.426,48,2004,GEORGIA,25.20,GA
3381,Georgia 12,0.518,0.482,195,2004,GEORGIA,102.37,GA
3382,Georgia 13,Uncontested,0.0,0,2004,GEORGIA,0.00,GA
