,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
21,California 1,0.621,0.379,29,2022,CALIFORNIA,15.22,CA
22,California 2,0.744,0.256,15,2022,CALIFORNIA,7.87,CA
23,California 3,0.536,0.464,98,2022,CALIFORNIA,51.45,CA
24,California 4,0.678,0.322,20,2022,CALIFORNIA,10.50,CA
25,California 5,0.613,0.387,31,2022,CALIFORNIA,16.27,CA
26,California 6,0.559,0.441,60,2022,CALIFORNIA,31.50,CA
27,California 7,0.683,0.317,20,2022,CALIFORNIA,10.50,CA
28,California 8,0.757,0.243,14,2022,CALIFORNIA,7.35,CA
29,California 9,0.548,0.452,73,2022,CALIFORNIA,38.32,CA
30,California 10,0.789,0.211,13,2022,CALIFORNIA,6.82,CA
31,California 11,0.84,0.16,11,2022,CALIFORNIA,5.77,CA
32,California 12,0.905,0.095,9,2022,CALIFORNIA,4.72,CA
33,California 13,0.502,0.498,1750,2022,CALIFORNIA,918.75,CA
34,California 14,0.693,0.307,19,2022,CALIFORNIA,9.97,CA
35,California 15,0.555,0.445,64,2022,CALIFORNIA,33.60,CA
36,California 16,0.578,0.422,45,2022,CALIFORNIA,23.62,CA
37,California 17,0.709,0.291,17,2022,CALIFORNIA,8.92,CA
38,California 18,0.659,0.341,23,2022,CALIFORNIA,12.07,CA
39,California 19,0.687,0.313,19,2022,CALIFORNIA,9.97,CA
40,California 20,0.672,0.328,21,2022,CALIFORNIA,11.02,CA
41,California 21,0.542,0.458,84,2022,CALIFORNIA,44.10,CA
42,California 22,0.515,0.485,234,2022,CALIFORNIA,122.85,CA
43,California 23,0.61,0.39,32,2022,CALIFORNIA,16.80,CA
44,California 24,0.606,0.394,34,2022,CALIFORNIA,17.85,CA
45,California 25,0.574,0.426,48,2022,CALIFORNIA,25.20,CA
46,California 26,0.545,0.455,78,2022,CALIFORNIA,40.95,CA
47,California 27,0.532,0.468,110,2022,CALIFORNIA,57.75,CA
48,California 28,0.662,0.338,22,2022,CALIFORNIA,11.55,CA
49,California 29,0.585,0.415,42,2022,CALIFORNIA,22.05,CA
50,California 30,0.711,0.289,17,2022,CALIFORNIA,8.92,CA
51,California 31,0.595,0.405,37,2022,CALIFORNIA,19.42,CA
52,California 32,0.692,0.308,19,2022,CALIFORNIA,9.97,CA
53,California 33,0.577,0.423,46,2022,CALIFORNIA,24.15,CA
54,California 34,0.512,0.488,292,2022,CALIFORNIA,153.30,CA
55,California 35,0.574,0.426,48,2022,CALIFORNIA,25.20,CA
56,California 36,0.698,0.302,18,2022,CALIFORNIA,9.45,CA
57,California 37,0.64,0.36,25,2022,CALIFORNIA,13.12,CA
58,California 38,0.581,0.419,44,2022,CALIFORNIA,23.10,CA
59,California 39,0.577,0.423,46,2022,CALIFORNIA,24.15,CA
60,California 40,0.568,0.432,52,2022,CALIFORNIA,27.30,CA
61,California 41,0.523,0.477,153,2022,CALIFORNIA,80.32,CA
62,California 42,0.684,0.316,20,2022,CALIFORNIA,10.50,CA
63,California 43,0.773,0.227,13,2022,CALIFORNIA,6.82,CA
64,California 44,0.722,0.278,16,2022,CALIFORNIA,8.40,CA
65,California 45,0.524,0.476,146,2022,CALIFORNIA,76.65,CA
66,California 46,0.618,0.382,30,2022,CALIFORNIA,15.75,CA
67,California 47,0.517,0.483,206,2022,CALIFORNIA,108.15,CA
68,California 48,0.604,0.396,34,2022,CALIFORNIA,17.85,CA
69,California 49,0.526,0.474,135,2022,CALIFORNIA,70.87,CA
70,California 50,0.628,0.372,28,2022,CALIFORNIA,14.70,CA
71,California 51,0.619,0.381,30,2022,CALIFORNIA,15.75,CA
72,California 52,0.667,0.333,21,2022,CALIFORNIA,11.02,CA
