,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
658,Texas 1,0.726,0.274,16,2020,TEXAS,8.40,TX
659,Texas 2,0.556,0.428,55,2020,TEXAS,28.87,TX
660,Texas 3,0.551,0.429,58,2020,TEXAS,30.45,TX
661,Texas 4,0.751,0.226,14,2020,TEXAS,7.35,TX
662,Texas 5,0.62,0.359,27,2020,TEXAS,14.17,TX
663,Texas 6,0.528,0.44,80,2020,TEXAS,42.00,TX
664,Texas 7,0.508,0.474,206,2020,TEXAS,108.15,TX
665,Texas 8,0.725,0.255,15,2020,TEXAS,7.87,TX
666,Texas 9,0.755,0.216,13,2020,TEXAS,6.82,TX
667,Texas 10,0.525,0.453,98,2020,TEXAS,51.45,TX
668,Texas 11,0.797,0.183,12,2020,TEXAS,6.30,TX
669,Texas 12,0.637,0.33,23,2020,TEXAS,12.07,TX
670,Texas 13,0.794,0.185,12,2020,TEXAS,6.30,TX
671,Texas 14,0.616,0.384,31,2020,TEXAS,16.27,TX
672,Texas 15,0.505,0.476,242,2020,TEXAS,127.05,TX
673,Texas 16,0.647,0.353,24,2020,TEXAS,12.60,TX
674,Texas 17,0.559,0.409,47,2020,TEXAS,24.67,TX
675,Texas 18,0.733,0.235,15,2020,TEXAS,7.87,TX
676,Texas 19,0.748,0.229,14,2020,TEXAS,7.35,TX
677,Texas 20,0.647,0.331,23,2020,TEXAS,12.07,TX
678,Texas 21,0.52,0.453,105,2020,TEXAS,55.12,TX
679,Texas 22,0.515,0.446,102,2020,TEXAS,53.55,TX
680,Texas 23,0.506,0.466,176,2020,TEXAS,92.40,TX
681,Texas 24,0.488,0.475,539,2020,TEXAS,282.97,TX
682,Texas 25,0.559,0.421,51,2020,TEXAS,26.77,TX
683,Texas 26,0.606,0.373,31,2020,TEXAS,16.27,TX
684,Texas 27,0.631,0.349,25,2020,TEXAS,13.12,TX
685,Texas 28,0.583,0.39,37,2020,TEXAS,19.42,TX
686,Texas 29,0.711,0.274,17,2020,TEXAS,8.92,TX
687,Texas 30,0.775,0.184,12,2020,TEXAS,6.30,TX
688,Texas 31,0.534,0.443,77,2020,TEXAS,40.42,TX
689,Texas 32,0.52,0.459,115,2020,TEXAS,60.37,TX
690,Texas 33,0.668,0.252,17,2020,TEXAS,8.92,TX
691,Texas 34,0.554,0.419,52,2020,TEXAS,27.30,TX
692,Texas 35,0.654,0.3,20,2020,TEXAS,10.50,TX
693,Texas 36,0.736,0.243,15,2020,TEXAS,7.87,TX
