,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
497,Illinois 1,0.738,0.262,15,2020,ILLINOIS,7.87,IL
498,Illinois 2,0.788,0.212,13,2020,ILLINOIS,6.82,IL
499,Illinois 3,0.564,0.436,55,2020,ILLINOIS,28.87,IL
500,Illinois 4,0.84,0.16,11,2020,ILLINOIS,5.77,IL
501,Illinois 5,0.708,0.266,16,2020,ILLINOIS,8.40,IL
502,Illinois 6,0.528,0.454,95,2020,ILLINOIS,49.87,IL
503,Illinois 7,0.804,0.134,11,2020,ILLINOIS,5.77,IL
504,Illinois 8,0.732,0.268,16,2020,ILLINOIS,8.40,IL
505,Illinois 9,0.71,0.29,17,2020,ILLINOIS,8.92,IL
506,Illinois 10,0.639,0.361,26,2020,ILLINOIS,13.65,IL
507,Illinois 11,0.633,0.367,27,2020,ILLINOIS,14.17,IL
508,Illinois 12,0.604,0.396,34,2020,ILLINOIS,17.85,IL
509,Illinois 13,0.545,0.455,78,2020,ILLINOIS,40.95,IL
510,Illinois 14,0.507,0.493,500,2020,ILLINOIS,262.50,IL
511,Illinois 15,0.735,0.265,15,2020,ILLINOIS,7.87,IL
512,Illinois 16,0.647,0.353,24,2020,ILLINOIS,12.60,IL
513,Illinois 17,0.52,0.48,175,2020,ILLINOIS,91.87,IL
514,Illinois 18,0.704,0.296,18,2020,ILLINOIS,9.45,IL
