,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1222,Illinois 1,0.741,0.259,15,2016,ILLINOIS,7.87,IL
1223,Illinois 2,0.798,0.202,12,2016,ILLINOIS,6.30,IL
1224,Illinois 3,1.0,0.0,7,2016,ILLINOIS,3.67,IL
1225,Illinois 4,1.0,0.0,7,2016,ILLINOIS,3.67,IL
1226,Illinois 5,0.678,0.275,18,2016,ILLINOIS,9.45,IL
1227,Illinois 6,0.592,0.408,39,2016,ILLINOIS,20.47,IL
1228,Illinois 7,0.842,0.158,11,2016,ILLINOIS,5.77,IL
1229,Illinois 8,0.583,0.417,43,2016,ILLINOIS,22.57,IL
1230,Illinois 9,0.665,0.335,22,2016,ILLINOIS,11.55,IL
1231,Illinois 10,0.526,0.474,135,2016,ILLINOIS,70.87,IL
1232,Illinois 11,0.604,0.396,34,2016,ILLINOIS,17.85,IL
1233,Illinois 12,0.543,0.397,48,2016,ILLINOIS,25.20,IL
1234,Illinois 13,0.597,0.403,37,2016,ILLINOIS,19.42,IL
1235,Illinois 14,0.593,0.407,38,2016,ILLINOIS,19.95,IL
1236,Illinois 15,1.0,0.0,7,2016,ILLINOIS,3.67,IL
1237,Illinois 16,0.999,0.0,8,2016,ILLINOIS,4.20,IL
1238,Illinois 17,0.603,0.397,34,2016,ILLINOIS,17.85,IL
1239,Illinois 18,0.721,0.279,16,2016,ILLINOIS,8.40,IL
