,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1381,Texas 1,0.739,0.241,15,2016,TEXAS,7.87,TX
1382,Texas 2,0.606,0.36,29,2016,TEXAS,15.22,TX
1383,Texas 3,0.612,0.346,27,2016,TEXAS,14.17,TX
1384,Texas 4,0.88,0.12,10,2016,TEXAS,5.25,TX
1385,Texas 5,0.806,0.194,12,2016,TEXAS,6.30,TX
1386,Texas 6,0.583,0.39,37,2016,TEXAS,19.42,TX
1387,Texas 7,0.562,0.438,57,2016,TEXAS,29.92,TX
1388,Texas 8,1.0,0.0,7,2016,TEXAS,3.67,TX
1389,Texas 9,0.806,0.194,12,2016,TEXAS,6.30,TX
1390,Texas 10,0.573,0.384,38,2016,TEXAS,19.95,TX
1391,Texas 11,0.895,0.105,9,2016,TEXAS,4.72,TX
1392,Texas 12,0.694,0.269,17,2016,TEXAS,8.92,TX
1393,Texas 13,0.9,0.067,9,2016,TEXAS,4.72,TX
1394,Texas 14,0.619,0.381,30,2016,TEXAS,15.75,TX
1395,Texas 15,0.573,0.377,36,2016,TEXAS,18.90,TX
1396,Texas 16,0.857,0.1,10,2016,TEXAS,5.25,TX
1397,Texas 17,0.608,0.352,28,2016,TEXAS,14.70,TX
1398,Texas 18,0.735,0.236,15,2016,TEXAS,7.87,TX
1399,Texas 19,0.867,0.085,9,2016,TEXAS,4.72,TX
1400,Texas 20,0.797,0.155,11,2016,TEXAS,5.77,TX
1401,Texas 21,0.57,0.365,35,2016,TEXAS,18.37,TX
1402,Texas 22,0.595,0.405,37,2016,TEXAS,19.42,TX
1403,Texas 23,0.483,0.47,539,2016,TEXAS,282.97,TX
1404,Texas 24,0.562,0.393,42,2016,TEXAS,22.05,TX
1405,Texas 25,0.584,0.377,34,2016,TEXAS,17.85,TX
1406,Texas 26,0.664,0.296,20,2016,TEXAS,10.50,TX
1407,Texas 27,0.617,0.383,30,2016,TEXAS,15.75,TX
1408,Texas 28,0.662,0.313,21,2016,TEXAS,11.02,TX
1409,Texas 29,0.725,0.24,15,2016,TEXAS,7.87,TX
1410,Texas 30,0.779,0.19,12,2016,TEXAS,6.30,TX
1411,Texas 31,0.584,0.365,32,2016,TEXAS,16.80,TX
1412,Texas 32,0.711,0.19,14,2016,TEXAS,7.35,TX
1413,Texas 33,0.737,0.263,15,2016,TEXAS,7.87,TX
1414,Texas 34,0.627,0.373,28,2016,TEXAS,14.70,TX
1415,Texas 35,0.631,0.316,23,2016,TEXAS,12.07,TX
1416,Texas 36,0.886,0.114,10,2016,TEXAS,5.25,TX
