,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1021,Texas 1,0.723,0.263,16,2018,TEXAS,8.40,TX
1022,Texas 2,0.528,0.456,98,2018,TEXAS,51.45,TX
1023,Texas 3,0.543,0.443,70,2018,TEXAS,36.75,TX
1024,Texas 4,0.757,0.23,14,2018,TEXAS,7.35,TX
1025,Texas 5,0.624,0.376,29,2018,TEXAS,15.22,TX
1026,Texas 6,0.531,0.454,91,2018,TEXAS,47.77,TX
1027,Texas 7,0.525,0.475,140,2018,TEXAS,73.50,TX
1028,Texas 8,0.734,0.249,15,2018,TEXAS,7.87,TX
1029,Texas 9,0.891,0.039,9,2018,TEXAS,4.72,TX
1030,Texas 10,0.511,0.468,163,2018,TEXAS,85.57,TX
1031,Texas 11,0.801,0.184,12,2018,TEXAS,6.30,TX
1032,Texas 12,0.643,0.339,24,2018,TEXAS,12.60,TX
1033,Texas 13,0.815,0.169,11,2018,TEXAS,5.77,TX
1034,Texas 14,0.592,0.393,36,2018,TEXAS,18.90,TX
1035,Texas 15,0.597,0.388,34,2018,TEXAS,17.85,TX
1036,Texas 16,0.685,0.27,17,2018,TEXAS,8.92,TX
1037,Texas 17,0.568,0.413,46,2018,TEXAS,24.15,TX
1038,Texas 18,0.752,0.208,13,2018,TEXAS,6.82,TX
1039,Texas 19,0.752,0.248,14,2018,TEXAS,7.35,TX
1040,Texas 20,0.809,0.191,12,2018,TEXAS,6.30,TX
1041,Texas 21,0.502,0.476,270,2018,TEXAS,141.75,TX
1042,Texas 22,0.514,0.465,143,2018,TEXAS,75.07,TX
1043,Texas 23,0.492,0.487,1400,2018,TEXAS,735.00,TX
1044,Texas 24,0.506,0.475,226,2018,TEXAS,118.65,TX
1045,Texas 25,0.535,0.448,81,2018,TEXAS,42.52,TX
1046,Texas 26,0.594,0.39,35,2018,TEXAS,18.37,TX
1047,Texas 27,0.603,0.366,30,2018,TEXAS,15.75,TX
1048,Texas 28,0.844,0.156,11,2018,TEXAS,5.77,TX
1049,Texas 29,0.751,0.239,14,2018,TEXAS,7.35,TX
1050,Texas 30,0.911,0.089,9,2018,TEXAS,4.72,TX
1051,Texas 31,0.506,0.477,242,2018,TEXAS,127.05,TX
1052,Texas 32,0.523,0.458,108,2018,TEXAS,56.70,TX
1053,Texas 33,0.762,0.219,13,2018,TEXAS,6.82,TX
1054,Texas 34,0.6,0.4,36,2018,TEXAS,18.90,TX
1055,Texas 35,0.713,0.26,16,2018,TEXAS,8.40,TX
1056,Texas 36,0.726,0.274,16,2018,TEXAS,8.40,TX
