,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1928,Georgia 1,0.63,0.37,27,2012,GEORGIA,14.17,GA
1929,Georgia 2,0.638,0.362,26,2012,GEORGIA,13.65,GA
1930,Georgia 3,Uncontested,0.0,0,2012,GEORGIA,0.00,GA
1931,Georgia 4,0.736,0.264,15,2012,GEORGIA,7.87,GA
1932,Georgia 5,0.843,0.157,11,2012,GEORGIA,5.77,GA
1933,Georgia 6,0.646,0.354,24,2012,GEORGIA,12.60,GA
1934,Georgia 7,0.622,0.378,29,2012,GEORGIA,15.22,GA
1935,Georgia 8,Uncontested,0.0,0,2012,GEORGIA,0.00,GA
1936,Georgia 9,0.762,0.238,14,2012,GEORGIA,7.35,GA
1937,Georgia 10,Uncontested,0.0,0,2012,GEORGIA,0.00,GA
1938,Georgia 11,0.686,0.314,19,2012,GEORGIA,9.97,GA
1939,Georgia 12,0.537,0.463,95,2012,GEORGIA,49.87,GA
1940,Georgia 13,0.717,0.283,17,2012,GEORGIA,8.92,GA
1941,Georgia 14,0.73,0.27,16,2012,GEORGIA,8.40,GA
