,State and District,Winner (Percentage of Votes),1st Runner-Up (Percentage of Votes),num_ballots,year,state,procedural_cost,state_po
1835,California 1,0.579,0.421,45,2012,CALIFORNIA,23.62,CA
1836,California 2,0.701,0.299,18,2012,CALIFORNIA,9.45,CA
1837,California 3,0.537,0.463,95,2012,CALIFORNIA,49.87,CA
1838,California 4,0.611,0.389,32,2012,CALIFORNIA,16.80,CA
1839,California 5,0.741,0.259,15,2012,CALIFORNIA,7.87,CA
1840,California 6,0.744,0.256,15,2012,CALIFORNIA,7.87,CA
1841,California 7,0.511,0.489,319,2012,CALIFORNIA,167.47,CA
1842,California 8,0.576,0.424,47,2012,CALIFORNIA,24.67,CA
1843,California 9,0.555,0.445,64,2012,CALIFORNIA,33.60,CA
1844,California 10,0.538,0.462,93,2012,CALIFORNIA,48.82,CA
1845,California 11,0.691,0.309,19,2012,CALIFORNIA,9.97,CA
1846,California 12,0.848,0.152,11,2012,CALIFORNIA,5.77,CA
1847,California 13,0.863,0.137,10,2012,CALIFORNIA,5.25,CA
1848,California 14,0.737,0.263,15,2012,CALIFORNIA,7.87,CA
1849,California 15,0.53,0.47,117,2012,CALIFORNIA,61.42,CA
1850,California 16,0.574,0.426,48,2012,CALIFORNIA,25.20,CA
1851,California 17,0.733,0.267,16,2012,CALIFORNIA,8.40,CA
1852,California 18,0.7,0.3,18,2012,CALIFORNIA,9.45,CA
1853,California 19,0.727,0.273,16,2012,CALIFORNIA,8.40,CA
1854,California 20,0.729,0.271,16,2012,CALIFORNIA,8.40,CA
1855,California 21,0.599,0.401,36,2012,CALIFORNIA,18.90,CA
1856,California 22,0.631,0.369,27,2012,CALIFORNIA,14.17,CA
1857,California 23,0.738,0.262,15,2012,CALIFORNIA,7.87,CA
1858,California 24,0.548,0.452,73,2012,CALIFORNIA,38.32,CA
1859,California 25,0.552,0.448,68,2012,CALIFORNIA,35.70,CA
1860,California 26,0.517,0.483,206,2012,CALIFORNIA,108.15,CA
1861,California 27,0.634,0.366,27,2012,CALIFORNIA,14.17,CA
1862,California 28,0.76,0.24,14,2012,CALIFORNIA,7.35,CA
1863,California 29,0.742,0.258,15,2012,CALIFORNIA,7.87,CA
1864,California 30,0.605,0.395,34,2012,CALIFORNIA,17.85,CA
1865,California 31,0.552,0.448,68,2012,CALIFORNIA,35.70,CA
1866,California 32,0.654,0.346,23,2012,CALIFORNIA,12.07,CA
1867,California 33,0.537,0.463,95,2012,CALIFORNIA,49.87,CA
1868,California 34,0.856,0.144,10,2012,CALIFORNIA,5.25,CA
1869,California 35,0.557,0.443,62,2012,CALIFORNIA,32.55,CA
1870,California 36,0.514,0.486,250,2012,CALIFORNIA,131.25,CA
1871,California 37,0.864,0.136,10,2012,CALIFORNIA,5.25,CA
1872,California 38,0.671,0.329,21,2012,CALIFORNIA,11.02,CA
1873,California 39,0.592,0.408,39,2012,CALIFORNIA,20.47,CA
1874,California 40,0.594,0.406,38,2012,CALIFORNIA,19.95,CA
1875,California 41,0.564,0.436,55,2012,CALIFORNIA,28.87,CA
1876,California 42,0.614,0.386,31,2012,CALIFORNIA,16.27,CA
1877,California 43,0.706,0.294,17,2012,CALIFORNIA,8.92,CA
1878,California 44,0.6,0.4,36,2012,CALIFORNIA,18.90,CA
1879,California 45,0.593,0.407,38,2012,CALIFORNIA,19.95,CA
1880,California 46,0.606,0.394,34,2012,CALIFORNIA,17.85,CA
1881,California 47,0.566,0.434,54,2012,CALIFORNIA,28.35,CA
1882,California 48,0.616,0.384,31,2012,CALIFORNIA,16.27,CA
1883,California 49,0.589,0.411,40,2012,CALIFORNIA,21.00,CA
1884,California 50,0.684,0.316,20,2012,CALIFORNIA,10.50,CA
1885,California 51,0.699,0.301,18,2012,CALIFORNIA,9.45,CA
1886,California 52,0.512,0.488,292,2012,CALIFORNIA,153.30,CA
1887,California 53,0.604,0.396,34,2012,CALIFORNIA,17.85,CA
